Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;160986915,4
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;25271049,56
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1129534602
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;649167271
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;83439413,18
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;2584758,09
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;394343159,8
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;2324946134
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;2324946134
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal;2324946134
